dia,canal,formato,pieza,objetivo,apertura,cta,estado
1,"Instagram Reels; TikTok; Shorts",Video 15s,V1 Tu cabeza no es un calendario,Descubrimiento,"¿Que tenia que hacer?",Proba Estudiemos,Por producir
2,Instagram Stories,Encuesta,H1 Desorden principal,Investigacion,"¿Que se te desordena primero?",Responder,Por producir
3,"Instagram Reels; TikTok",Video 15s,V2 Decilo como te salga,Demostracion,"No armes cinco formularios.",Proba Estudiemos,Por producir
4,Instagram,Carrusel,C1 Sistema minimo,Guardados,"No necesitas otra lista.",Guardar,Por producir
5,Instagram Stories,Demo 7s,H2 Inbox instantaneo,Demostracion,"Una frase. Una tarea.",Abrir Estudiemos,Por producir
6,"Instagram Reels; TikTok; Shorts",Video 15s,V3 25 minutos cuentan,Descubrimiento,"No necesitas estudiar cuatro horas.",Empeza con 25,Por producir
7,Instagram Stories,Pregunta,H3 Sugerencias,Comunidad,"¿Que le agregarias?",Responder,Por producir
8,"Instagram Reels; TikTok",Video 15s,V4 Apuntes en orden,Demostracion,"Tus apuntes tambien necesitan orden.",Proba Estudiemos,Por producir
9,Instagram,Carrusel,C2 IA que organiza,Confianza,"Nada cambia sin confirmar.",Guardar,Por producir
10,Instagram Stories,Encuesta,H4 Bloques de estudio,Investigacion,"¿Estudias con bloques?",Responder,Por producir
11,"Instagram Reels; TikTok; Shorts",Video 15s,V5 Sin abrir la app,Diferenciacion,"Tu dia sin abrir nada.",Instalar widgets,Por producir
12,Instagram Stories,Demo 7s,H5 Widget del dia,Demostracion,"Inbox siempre visible.",Abrir Estudiemos,Por producir
13,"Instagram Reels; TikTok",Video 15s,V6 Todos tus dispositivos,Conversion,"Todo se mueve con vos.",Instalar Estudiemos,Por producir
14,"Instagram Stories; Instagram",Resumen,Construida con estudiantes,Comunidad,"Esto cambio en dos semanas.",Sumarte a Estudiemos,Por producir

